mentor_id,first_name,last_name,mentor_type,university,field_of_study,degree_level,years_in_country,visa_experience,housing_experience,cultural_adaptation_experience,career_guidance_experience,languages_spoken,availability_hours_per_week,sessions_completed,response_time_hours,graduation_year,mentor_rating
218,Priya,Hossain,student,Australian National University,Artificial Intelligence,Bachelor,1,0,1,1,1,"English,Spanish",3,44,34,NULL,3.6
219,Suresh,Chaudhary,student,University of Queensland,Artificial Intelligence,Bachelor,9,0,1,0,1,"English,Mandarin",6,135,26,NULL,3.8
220,Nina,Smirnov,student,University of Western Australia,Psychology,Master,10,0,1,1,1,"English,Indonesian",1,21,47,NULL,3.6
221,Jueqing,Gomez,student,UNSW,Mechanical Engineering,Master,11,0,1,1,0,"English,Spanish",14,200,26,NULL,3.6
222,Clara,Hossain,student,University of Western Australia,Artificial Intelligence,Bachelor,9,1,0,0,1,"English,Mandarin",5,135,48,NULL,4.8
223,Ishaan,Siddiqui,student,University of Western Australia,Psychology,PhD,12,0,1,0,0,"English,Spanish",3,155,17,NULL,4.7
224,Mateo,Malik,student,Monash University,Artificial Intelligence,Bachelor,13,0,0,0,1,"English,Japnese",14,155,4,NULL,4.5
225,Zane,Olsen,student,University of Sydney,Psychology,Bachelor,5,1,1,0,0,"English,Spanish",4,160,2,NULL,4.2
226,Yuki,Malik,student,University of Adelaide,Finance,Master,8,1,0,0,1,"English,Spanish",8,73,45,NULL,3.7
227,Zaid,Suzuki,student,University of Queensland,Finance,Bachelor,1,0,1,1,1,"English,Mandarin",12,118,29,NULL,4.1
228,Arjun,Nguyen,student,UNSW,Finance,Master,7,0,1,0,0,"English,Hindi",8,12,18,NULL,3.8
229,Zoya,Park,student,UNSW,Psychology,Master,4,0,0,0,1,"English,Japnese",12,147,46,NULL,5.0
230,Ivan,Nguyen,student,UNSW,Artificial Intelligence,Master,9,1,0,1,1,"English,Indonesian",18,118,43,NULL,4.9
231,Hamza,Chaudhary,student,University of Sydney,Computer Science,Bachelor,13,1,0,0,1,"English,Japnese",12,1,20,NULL,4.6
232,Yuki,Rossi,student,UNSW,Mechanical Engineering,Master,15,0,0,0,1,"English,Mandarin",11,57,29,NULL,4.8
233,Zane,Park,student,University of Melbourne,Business Analytics,Master,10,1,0,0,0,"English,Japnese",5,155,36,NULL,4.2
234,Sumaiya,Tanaka,student,University of Melbourne,Finance,Master,15,1,0,0,0,"English,French",16,193,22,NULL,3.5
235,Elena,Siddiqui,student,Monash University,Psychology,PhD,7,1,1,1,1,"English,Spanish",5,46,26,NULL,4.4
236,Diego,Wei,student,Australian National University,Finance,PhD,10,0,0,0,0,"English,French",20,89,43,NULL,4.2
237,Sumaiya,Kumar,student,University of Melbourne,Mechanical Engineering,PhD,9,1,0,1,0,"English,Japnese",7,169,33,NULL,4.9
238,Zane,Moreau,student,University of Melbourne,Finance,Bachelor,5,1,0,0,0,English,1,59,42,NULL,4.1
239,Amara,Nguyen,student,Monash University,Mechanical Engineering,Bachelor,8,1,1,0,0,"English,Spanish",2,40,24,NULL,4.6
240,Omar,Khan,student,University of Melbourne,Psychology,Bachelor,5,1,1,1,0,"English,French",2,70,45,NULL,4.3
241,Kenji,Silva,student,Australian National University,Computer Science,PhD,8,1,1,0,1,English,7,69,32,NULL,4.0
242,Bilal,Dubois,student,University of Western Australia,Business Analytics,Bachelor,6,1,0,1,0,"English,Hindi",17,166,10,NULL,4.7
243,Mei,Smirnov,student,University of Queensland,Artificial Intelligence,Master,2,1,0,1,1,"English,Indonesian",3,173,44,NULL,4.2
244,Mei,Haddad,student,Australian National University,Business Analytics,Bachelor,12,1,0,0,0,"English,French",11,137,39,NULL,4.0
245,Omar,Rahman,student,University of Sydney,Computer Science,PhD,3,1,1,1,1,"English,Hindi",7,15,6,NULL,4.4
246,Arjun,Nguyen,student,University of Queensland,Business Analytics,PhD,5,0,1,1,0,"English,Hindi",16,4,36,NULL,3.5
247,Mateo,Patil,student,University of Melbourne,Artificial Intelligence,Bachelor,1,1,1,1,1,"English,Indonesian",12,57,42,NULL,4.4
248,Hiroshi,Müller,student,University of Melbourne,Psychology,PhD,4,0,0,1,0,"English,Hindi",18,46,11,NULL,4.8
249,Sumaiya,Bakare,student,University of Melbourne,Data Science,Bachelor,7,1,1,0,0,"English,Hindi",6,15,32,NULL,4.1
250,Abrar,Tanaka,student,University of Adelaide,Data Science,Master,10,0,1,0,0,"English,French",9,186,34,NULL,4.4
251,Ji-won,Mansoor,student,Australian National University,Data Science,Master,5,1,0,1,0,"English,Hindi",16,157,25,NULL,3.9
252,Yuki,Mansoor,student,University of Adelaide,Mechanical Engineering,Master,14,0,0,1,1,"English,Spanish",4,15,31,NULL,4.9
253,Abrar,Kumar,student,UNSW,Business Analytics,Bachelor,9,1,1,1,1,"English,French",14,111,7,NULL,3.6
254,Omar,Rossi,student,Monash University,Computer Science,PhD,12,0,1,0,1,"English,Indonesian",8,22,13,NULL,4.5
255,Sarvesh,Nguyen,student,Australian National University,Psychology,Master,4,1,1,0,1,"English,Indonesian",15,132,28,NULL,3.7
256,Sana,Chen,student,UNSW,Business Analytics,Bachelor,9,1,0,1,0,"English,Hindi",9,51,29,NULL,4.1
257,Zaid,Tanaka,student,University of Adelaide,Psychology,Bachelor,15,0,1,0,1,"English,Hindi",2,2,20,NULL,4.2
258,Fatima,Kumar,student,University of Adelaide,Artificial Intelligence,Bachelor,7,0,1,1,0,"English,Japnese",8,85,11,NULL,4.5
259,Abrar,Wei,student,UNSW,Data Science,PhD,13,1,1,0,1,"English,Spanish",15,1,19,NULL,4.2
260,Kenji,Rahman,student,University of Sydney,Computer Science,Bachelor,11,1,0,0,0,"English,Indonesian",17,83,45,NULL,3.9
261,Clara,Wei,student,University of Western Australia,Mechanical Engineering,Bachelor,11,0,0,1,1,English,15,36,41,NULL,3.7
262,Sofia,Silva,student,UNSW,Mechanical Engineering,PhD,10,0,1,0,1,"English,Japnese",18,132,23,NULL,3.6
263,Saanvi,Silva,student,University of Melbourne,Business Analytics,PhD,6,0,0,1,1,"English,Mandarin",11,33,44,NULL,4.1
264,Tanvir,Siddiqui,student,Australian National University,Finance,Master,14,0,1,0,1,"English,Mandarin",17,75,11,NULL,4.2
265,Jueqing,Iyer,student,University of Melbourne,Mechanical Engineering,Master,1,1,1,1,1,"English,Spanish",13,29,28,NULL,4.0
266,Hiroshi,Silva,student,University of Sydney,Computer Science,PhD,6,1,0,1,1,"English,Indonesian",4,180,41,NULL,4.8
267,Kavya,Malik,student,Australian National University,Mechanical Engineering,PhD,5,1,1,0,0,"English,Hindi",7,128,13,NULL,3.7
268,Tanvir,Patil,student,University of Adelaide,Business Analytics,Bachelor,7,0,0,1,1,"English,Japnese",16,71,43,NULL,3.5
269,Elena,Wei,student,University of Western Australia,Finance,Bachelor,6,0,1,1,0,"English,Hindi",6,78,40,NULL,3.8
270,Sarvesh,Hernandez,student,University of Melbourne,Business Analytics,Bachelor,15,1,0,1,1,English,8,102,44,NULL,4.1
271,Lucas,Kim,student,University of Queensland,Artificial Intelligence,Master,2,1,0,0,0,English,9,169,33,NULL,3.7
272,Aisha,Wei,student,University of Sydney,Finance,Bachelor,8,1,0,0,0,"English,Indonesian",8,184,9,NULL,4.0
273,Mathis,Smirnov,student,University of Sydney,Computer Science,Master,2,1,0,1,1,"English,Indonesian",13,109,27,NULL,3.6
274,Fatima,Gomez,student,UNSW,Data Science,PhD,7,1,1,1,0,"English,Mandarin",12,48,18,NULL,4.8
275,Fatima,Sharma,student,University of Melbourne,Business Analytics,Bachelor,7,0,1,1,1,"English,Spanish",12,65,1,NULL,3.5
276,Hiroshi,Wong,student,University of Western Australia,Artificial Intelligence,Master,11,0,1,1,0,"English,Indonesian",17,111,25,NULL,4.7
277,Clara,Olsen,student,Monash University,Finance,PhD,15,0,0,1,1,English,12,59,8,NULL,5.0
278,Zaid,Nguyen,student,University of Adelaide,Psychology,PhD,11,0,1,1,0,"English,French",11,34,14,NULL,4.2
279,Kenji,Bakare,student,Monash University,Finance,Master,4,1,0,1,1,English,16,113,11,NULL,4.7
280,Léa,Park,student,Monash University,Data Science,PhD,7,1,0,1,0,"English,Hindi",2,51,16,NULL,4.0
281,Ananya,Wong,student,University of Western Australia,Finance,PhD,7,1,1,1,0,"English,Hindi",16,85,32,NULL,4.5
282,Sumaiya,Sato,student,University of Melbourne,Data Science,Master,11,0,1,1,0,"English,Hindi",10,176,25,NULL,4.8
283,Sana,Wong,student,University of Queensland,Business Analytics,Master,14,0,1,0,0,"English,Hindi",5,147,32,NULL,4.6
284,Ananya,Hossain,student,University of Sydney,Data Science,Master,6,1,1,1,0,"English,Spanish",6,116,33,NULL,4.4
285,Hamza,Garcia,student,University of Melbourne,Finance,Bachelor,1,1,1,1,1,"English,Japnese",11,75,1,NULL,3.5
286,Zane,Dubois,student,University of Sydney,Finance,Bachelor,7,0,0,1,1,"English,French",3,196,21,NULL,4.5
287,Ishaan,Khan,student,Monash University,Mechanical Engineering,Master,9,0,1,0,1,"English,Indonesian",17,83,6,NULL,4.4
288,Hamza,Patil,student,University of Adelaide,Finance,PhD,3,0,0,0,1,"English,Hindi",15,29,44,NULL,4.3
289,Nusrat,Moreau,student,University of Adelaide,Artificial Intelligence,Bachelor,12,1,1,1,1,"English,Japnese",1,79,28,NULL,3.8
290,Lucas,Silva,student,University of Queensland,Computer Science,Bachelor,14,0,0,1,1,"English,Japnese",4,114,32,NULL,4.9
291,Hamza,Mansoor,student,University of Melbourne,Business Analytics,Bachelor,7,0,0,1,0,"English,Indonesian",8,176,4,NULL,4.9
292,Zoya,Hernandez,student,UNSW,Mechanical Engineering,PhD,12,1,0,1,0,English,3,179,44,NULL,4.6
293,Fatima,Siddiqui,student,Australian National University,Artificial Intelligence,PhD,5,1,0,1,0,"English,Japnese",9,180,42,NULL,3.7
294,Sana,Ahmed,student,Monash University,Artificial Intelligence,Master,15,1,0,1,0,"English,French",9,47,46,NULL,4.1
295,Amira,Bakare,student,University of Sydney,Computer Science,Bachelor,5,0,1,1,1,"English,French",2,124,3,NULL,3.5
296,Hans,Chatterjee,student,University of Queensland,Psychology,PhD,3,1,0,1,1,"English,Spanish",16,4,33,NULL,3.9
297,Mei,Malik,student,University of Western Australia,Psychology,PhD,6,0,0,0,0,English,5,143,18,NULL,3.7
298,Hans,Malik,student,Monash University,Computer Science,PhD,11,0,1,0,0,English,6,21,37,NULL,5.0
299,Priya,Chen,student,Australian National University,Data Science,Bachelor,7,0,1,0,0,"English,Japnese",13,26,23,NULL,3.8
300,Ji-won,Bakare,student,University of Sydney,Mechanical Engineering,Bachelor,8,1,1,0,0,"English,Spanish",15,104,12,NULL,4.2
301,Arjun,Moreau,student,Australian National University,Artificial Intelligence,Master,14,0,1,1,0,"English,Hindi",5,12,17,NULL,3.8
302,Mathis,Dubois,student,Monash University,Data Science,Master,6,0,0,0,1,"English,Mandarin",4,140,33,NULL,4.5
303,Suresh,Bakare,student,University of Queensland,Psychology,Master,1,0,1,1,1,"English,Spanish",1,8,17,NULL,4.5
304,Nina,Silva,student,Monash University,Mechanical Engineering,Bachelor,5,0,0,0,0,"English,Indonesian",14,69,7,NULL,4.6
305,Léa,Al-Farsi,student,Monash University,Computer Science,Bachelor,2,0,1,1,0,"English,French",16,128,11,NULL,4.3
306,Nusrat,Al-Farsi,student,University of Western Australia,Psychology,Bachelor,7,1,0,0,1,English,1,56,21,NULL,4.6
307,Sumaiya,Lefebvre,student,UNSW,Business Analytics,Master,9,1,1,0,1,"English,French",2,177,40,NULL,4.0
308,Zoya,Mansoor,student,Australian National University,Mechanical Engineering,PhD,4,1,0,1,0,English,1,71,10,NULL,4.8
309,Ishaan,Patil,student,Monash University,Mechanical Engineering,Bachelor,9,1,1,0,0,"English,Hindi",4,87,32,NULL,4.5
310,Sofia,Moreau,student,University of Adelaide,Finance,Bachelor,6,1,0,1,1,"English,Japnese",9,106,33,NULL,4.9
311,Nina,Iyer,student,UNSW,Psychology,Bachelor,11,0,0,0,0,English,13,112,28,NULL,4.0
312,Kenji,Wong,student,University of Adelaide,Finance,PhD,3,0,1,0,0,"English,Spanish",3,157,47,NULL,3.5
313,Chloé,Nguyen,student,University of Western Australia,Finance,Bachelor,14,0,0,1,1,"English,Mandarin",16,190,33,NULL,4.7
314,Sofia,Suzuki,student,University of Queensland,Data Science,Master,4,0,0,1,1,English,19,19,25,NULL,4.1
315,Ananya,Malik,student,UNSW,Psychology,Bachelor,9,1,1,1,1,"English,Japnese",5,8,13,NULL,4.3
316,Kenji,Müller,student,University of Adelaide,Data Science,Bachelor,3,1,1,0,1,"English,Spanish",3,100,39,NULL,4.5
317,Elena,Al-Farsi,student,University of Western Australia,Mechanical Engineering,Master,6,1,1,1,1,"English,Mandarin",7,181,4,NULL,4.0
318,Clara,Khan,student,University of Adelaide,Psychology,Bachelor,10,0,1,1,0,"English,Spanish",12,183,48,NULL,4.9
319,Arjun,Ahmed,student,Monash University,Business Analytics,PhD,5,1,0,1,0,"English,Japnese",5,15,39,NULL,4.0
320,Arjun,Sharma,student,University of Queensland,Mechanical Engineering,Bachelor,1,0,0,1,1,"English,Mandarin",3,100,24,NULL,4.8
321,Léa,Lefebvre,student,University of Melbourne,Computer Science,PhD,10,0,0,1,0,"English,Spanish",11,75,42,NULL,4.2
322,Zoya,Hossain,student,University of Sydney,Business Analytics,Bachelor,2,0,1,1,1,"English,Indonesian",18,190,33,NULL,3.9
323,Sarvesh,Khan,student,University of Adelaide,Artificial Intelligence,PhD,15,1,0,0,0,"English,Japnese",10,89,6,NULL,4.8
324,Arjun,Khan,student,University of Western Australia,Psychology,Master,7,1,0,0,0,"English,French",8,82,43,NULL,3.7
325,Rohan,Siddiqui,student,University of Queensland,Artificial Intelligence,Master,10,0,0,1,1,"English,Japnese",13,14,18,NULL,4.0
326,Ji-won,Al-Farsi,student,University of Adelaide,Psychology,Bachelor,10,0,0,0,0,"English,Hindi",10,60,17,NULL,4.5
327,Fatima,Siddiqui,student,University of Melbourne,Finance,PhD,14,0,0,1,1,"English,French",5,46,14,NULL,3.5
328,Hans,Patil,student,Monash University,Data Science,PhD,1,1,0,0,1,"English,Japnese",17,68,10,NULL,4.8
329,Fatima,Wei,student,University of Western Australia,Artificial Intelligence,PhD,3,1,0,1,1,"English,Japnese",3,127,31,NULL,4.1
330,Priya,Chen,student,University of Adelaide,Mechanical Engineering,Bachelor,8,1,1,1,0,"English,Indonesian",2,172,25,NULL,4.2
331,Rohan,Sharma,student,University of Queensland,Mechanical Engineering,Master,14,1,0,0,0,"English,Spanish",3,181,41,NULL,3.7
332,Hiroshi,Das,student,University of Queensland,Mechanical Engineering,Bachelor,10,1,0,0,1,"English,Hindi",20,85,32,NULL,3.8
333,Sarvesh,Chen,student,University of Adelaide,Artificial Intelligence,PhD,14,0,1,0,1,"English,Hindi",13,50,15,NULL,4.9
334,Mathis,Chaudhary,student,University of Adelaide,Data Science,PhD,8,0,1,0,1,"English,Spanish",12,161,29,NULL,4.1
335,Ishaan,Iyer,student,Australian National University,Finance,PhD,5,1,0,0,1,"English,Spanish",8,94,3,NULL,4.9
336,Amira,Olsen,student,UNSW,Data Science,Bachelor,11,1,1,1,0,"English,Mandarin",19,142,7,NULL,4.4
337,Ananya,Smirnov,student,University of Sydney,Business Analytics,PhD,3,0,1,1,0,"English,French",18,66,14,NULL,4.6
338,Priya,Al-Farsi,student,University of Western Australia,Computer Science,Master,12,1,1,1,1,English,2,125,5,NULL,4.9
339,Priya,Sharma,student,University of Adelaide,Psychology,Master,10,0,0,0,0,English,20,108,48,NULL,4.9
340,Julien,Bakare,student,University of Melbourne,Computer Science,PhD,4,1,0,1,0,"English,Japnese",6,41,27,NULL,3.7
341,Hans,Kumar,student,Australian National University,Psychology,PhD,13,1,0,1,0,"English,French",3,121,30,NULL,4.7
342,Yuki,Haddad,student,University of Sydney,Artificial Intelligence,PhD,7,1,0,0,0,"English,Mandarin",10,177,48,NULL,3.9
343,Trang,Khan,student,Australian National University,Artificial Intelligence,Bachelor,9,1,0,1,1,"English,Indonesian",8,192,4,NULL,4.2
344,Mathis,Hossain,student,University of Western Australia,Data Science,Master,15,1,1,0,0,"English,Hindi",1,38,28,NULL,3.6
345,Chloé,Mansoor,student,UNSW,Psychology,PhD,5,1,1,0,0,"English,Mandarin",9,56,20,NULL,4.5
346,Zoya,Chaudhary,student,Australian National University,Computer Science,PhD,15,0,0,0,0,"English,Indonesian",2,117,35,NULL,4.7
347,Saanvi,Lefebvre,student,University of Sydney,Artificial Intelligence,Master,10,1,0,0,0,"English,French",3,158,35,NULL,4.3
348,Mateo,Sato,student,Australian National University,Psychology,PhD,12,0,1,0,1,"English,Hindi",16,67,3,NULL,3.7
349,Léa,Khan,student,University of Adelaide,Data Science,Bachelor,14,0,0,1,1,"English,Hindi",16,138,18,NULL,4.1
350,Kavya,Das,student,University of Sydney,Finance,Bachelor,12,1,1,0,1,English,2,168,17,NULL,4.4
351,Amira,Chaudhary,student,University of Western Australia,Computer Science,PhD,13,1,0,1,0,"English,Japnese",6,99,18,NULL,4.3
352,Zaid,Das,student,UNSW,Business Analytics,Master,7,1,1,1,0,"English,Indonesian",9,55,21,NULL,4.4
353,Kavya,Iqbal,student,University of Adelaide,Psychology,Bachelor,10,0,1,0,1,English,6,23,37,NULL,3.5
354,Fatima,Müller,student,University of Melbourne,Artificial Intelligence,Master,6,0,0,1,0,"English,Mandarin",10,48,35,NULL,4.9
355,Sumaiya,Lefebvre,student,University of Western Australia,Mechanical Engineering,Master,3,1,0,0,1,"English,Spanish",4,102,37,NULL,4.1
356,Ananya,Nguyen,student,University of Adelaide,Business Analytics,PhD,8,0,0,1,0,"English,Spanish",5,34,38,NULL,4.8
357,Saanvi,Chen,student,University of Melbourne,Artificial Intelligence,Bachelor,6,1,0,0,0,"English,French",11,104,41,NULL,4.3
358,Zane,Tanaka,student,University of Adelaide,Business Analytics,PhD,8,1,0,0,0,"English,Indonesian",7,9,38,NULL,4.0
359,Mathis,Park,student,University of Sydney,Data Science,Master,10,1,1,1,1,"English,Indonesian",11,121,3,NULL,4.7
360,Zoya,Wei,student,University of Queensland,Psychology,PhD,3,1,0,0,0,"English,Japnese",3,170,25,NULL,3.5
361,Jueqing,Gomez,student,University of Queensland,Data Science,PhD,11,1,0,0,1,"English,Spanish",8,19,40,NULL,5.0
362,Hans,Khan,student,University of Queensland,Artificial Intelligence,Bachelor,5,1,0,1,1,"English,Mandarin",16,196,46,NULL,4.6
363,Hamza,Olsen,student,Monash University,Mechanical Engineering,PhD,12,0,0,0,1,English,10,89,44,NULL,3.6
364,Julien,Nguyen,student,University of Queensland,Data Science,Master,6,0,1,0,0,"English,Indonesian",5,136,42,NULL,4.6
365,Chloé,Olsen,student,University of Melbourne,Computer Science,Bachelor,10,0,0,0,0,"English,Hindi",11,104,48,NULL,4.2
366,Elena,Mansoor,student,University of Western Australia,Artificial Intelligence,Bachelor,11,0,1,1,1,"English,Spanish",3,36,40,NULL,4.9
367,Sana,Tanaka,student,University of Melbourne,Data Science,PhD,12,0,0,1,0,"English,French",5,58,29,NULL,4.6
368,Zane,Bakare,student,UNSW,Computer Science,Bachelor,12,1,0,1,1,"English,French",9,22,18,NULL,4.5
369,Ivan,Das,student,University of Western Australia,Business Analytics,Master,2,1,0,0,1,"English,Spanish",8,153,46,NULL,4.0
370,Mathis,Suzuki,student,University of Sydney,Computer Science,Bachelor,15,1,0,0,0,"English,Spanish",19,190,29,NULL,4.8
371,Trang,Suzuki,student,Australian National University,Computer Science,Master,13,1,0,1,0,"English,Indonesian",1,111,12,NULL,4.5
372,Ji-won,Müller,student,University of Sydney,Artificial Intelligence,Master,2,1,1,0,1,"English,Japnese",17,157,6,NULL,4.2
373,Arjun,Siddiqui,student,Australian National University,Artificial Intelligence,Bachelor,9,0,1,0,0,English,9,116,7,NULL,3.5
374,Hamza,Mansoor,student,Australian National University,Mechanical Engineering,PhD,4,1,0,0,1,"English,Spanish",2,177,47,NULL,4.7
375,Clara,Kumar,student,Australian National University,Mechanical Engineering,PhD,10,0,0,1,1,"English,Spanish",20,113,1,NULL,4.6
376,Mei,Smirnov,student,University of Queensland,Business Analytics,PhD,11,0,0,0,1,"English,Japnese",16,53,17,NULL,3.7
377,Julien,Kim,student,UNSW,Artificial Intelligence,PhD,9,0,0,0,0,English,11,31,15,NULL,4.3
378,Saanvi,Bakare,student,University of Sydney,Psychology,Master,2,0,1,0,1,"English,Hindi",18,66,31,NULL,4.6
379,Ji-won,Rahman,student,University of Melbourne,Psychology,PhD,8,1,1,1,1,"English,Mandarin",1,22,6,NULL,3.7
380,Aisha,Sharma,student,University of Adelaide,Data Science,PhD,1,1,0,0,1,"English,Spanish",15,61,31,NULL,4.0
381,Nina,Silva,student,University of Melbourne,Finance,Master,4,0,1,0,1,English,10,141,48,NULL,3.8
382,Sumaiya,Chen,student,University of Melbourne,Mechanical Engineering,Bachelor,10,0,1,1,1,"English,Japnese",7,131,1,NULL,4.2
383,Trang,Chen,student,University of Sydney,Computer Science,Bachelor,7,0,1,0,1,"English,Mandarin",3,142,3,NULL,4.0
384,Amira,Rossi,student,Australian National University,Data Science,Bachelor,13,1,1,0,0,English,5,196,1,NULL,4.2
385,Rohan,Sato,student,Australian National University,Computer Science,Master,1,0,0,1,1,"English,French",12,107,11,NULL,3.8
386,Chloé,Chatterjee,student,UNSW,Finance,PhD,7,1,1,1,1,"English,Hindi",1,159,31,NULL,4.1
387,Rohan,Chatterjee,student,Monash University,Business Analytics,Bachelor,15,1,1,0,1,"English,Japnese",15,177,25,NULL,4.0
388,Lucas,Kim,student,Australian National University,Psychology,Bachelor,4,1,0,1,0,"English,Spanish",6,86,38,NULL,4.1
389,Julien,Kim,student,Monash University,Mechanical Engineering,Bachelor,6,1,1,0,1,"English,Mandarin",8,40,39,NULL,4.2
390,Sumaiya,Olsen,student,University of Sydney,Artificial Intelligence,Master,6,0,1,0,1,"English,Mandarin",4,112,44,NULL,4.3
391,Mathis,Lefebvre,student,University of Sydney,Artificial Intelligence,PhD,5,0,1,1,1,"English,Mandarin",13,182,43,NULL,4.5
392,Amara,Gomez,student,University of Melbourne,Computer Science,Bachelor,15,1,1,1,1,"English,Indonesian",1,181,8,NULL,4.9
393,Nusrat,Sharma,student,University of Adelaide,Psychology,Master,12,1,0,1,0,"English,Mandarin",2,24,11,NULL,4.7
394,Mei,Suzuki,student,University of Western Australia,Finance,Bachelor,11,1,1,1,0,"English,Spanish",9,74,48,NULL,4.8
395,Aisha,Kim,student,UNSW,Data Science,PhD,2,0,0,0,1,English,19,76,22,NULL,3.6
396,Ananya,Garcia,student,UNSW,Computer Science,PhD,4,0,0,0,1,"English,Indonesian",15,45,46,NULL,4.2
397,Julien,Gomez,student,University of Adelaide,Artificial Intelligence,PhD,1,0,0,0,1,"English,Spanish",16,173,31,NULL,3.7
398,Lucas,Lefebvre,student,University of Adelaide,Artificial Intelligence,PhD,1,0,0,0,1,"English,Indonesian",1,30,25,NULL,4.7
399,Hiroshi,Park,student,UNSW,Business Analytics,PhD,11,0,1,1,1,"English,Indonesian",3,104,12,NULL,4.1
400,Julien,Chaudhary,student,University of Western Australia,Finance,Master,15,0,0,0,1,English,7,63,28,NULL,4.4
401,Kavya,Sato,student,University of Western Australia,Data Science,PhD,13,1,0,0,0,"English,Japnese",13,45,34,NULL,3.7
402,Arjun,Park,student,Monash University,Finance,Master,8,0,0,0,0,"English,Indonesian",10,114,16,NULL,4.3
403,Hamza,Lefebvre,student,University of Adelaide,Business Analytics,Master,3,1,1,0,0,"English,Mandarin",11,161,6,NULL,3.9
404,Mateo,Chen,student,Australian National University,Computer Science,Master,1,0,1,0,1,"English,Indonesian",2,6,27,NULL,4.3
405,Sana,Al-Farsi,student,University of Adelaide,Mechanical Engineering,Bachelor,10,0,1,1,0,English,2,18,2,NULL,3.9
406,Lucas,Hossain,student,University of Melbourne,Mechanical Engineering,PhD,5,1,0,0,1,"English,Spanish",20,8,48,NULL,3.6
407,Zoya,Nguyen,student,UNSW,Artificial Intelligence,Bachelor,13,1,0,1,0,"English,Hindi",9,183,2,NULL,4.3
408,Amira,Müller,student,University of Sydney,Mechanical Engineering,Master,12,1,0,1,0,"English,Indonesian",4,19,24,NULL,4.9
409,Zaid,Chen,student,University of Western Australia,Artificial Intelligence,PhD,2,1,0,0,0,"English,Mandarin",4,124,40,NULL,4.4
410,Li,Patil,student,University of Adelaide,Finance,Master,14,0,1,0,1,"English,Hindi",3,85,6,NULL,4.7
411,Hamza,Das,student,University of Sydney,Computer Science,PhD,12,1,0,0,1,"English,Mandarin",15,60,44,NULL,4.3
412,Amira,Rossi,student,UNSW,Artificial Intelligence,Master,10,1,1,1,0,"English,Japnese",6,166,22,NULL,4.5
413,Omar,Malik,student,University of Melbourne,Computer Science,Master,5,0,0,0,0,"English,Japnese",7,150,14,NULL,3.7
414,Mateo,Iyer,student,UNSW,Finance,Master,7,1,0,1,0,English,16,72,15,NULL,4.9
415,Nina,Bakare,student,University of Queensland,Finance,Master,8,1,0,1,1,"English,Hindi",5,117,9,NULL,4.1
416,Nusrat,Rossi,student,Monash University,Finance,Bachelor,7,1,0,0,1,"English,Hindi",17,46,17,NULL,3.5
417,Lucas,Rahman,student,University of Melbourne,Computer Science,PhD,3,0,0,1,0,"English,Indonesian",15,130,44,NULL,4.8
418,Nusrat,Smirnov,student,University of Western Australia,Artificial Intelligence,Bachelor,8,1,1,1,1,"English,Mandarin",11,184,21,NULL,3.8
419,Fatima,Al-Farsi,student,University of Melbourne,Computer Science,Master,12,1,1,1,0,"English,Japnese",12,161,3,NULL,4.7
420,Hans,Malik,student,UNSW,Mechanical Engineering,Bachelor,13,0,1,1,1,"English,Indonesian",18,66,30,NULL,3.7
421,Lucas,Khan,student,UNSW,Artificial Intelligence,Master,12,0,1,0,0,"English,Japnese",10,89,17,NULL,4.5
422,Diego,Rahman,student,Monash University,Data Science,PhD,6,0,0,1,1,"English,Mandarin",17,177,9,NULL,4.7
423,Julien,Wei,student,University of Western Australia,Business Analytics,Bachelor,1,0,1,0,0,"English,Mandarin",6,125,17,NULL,3.5
424,Ivan,Chaudhary,student,University of Queensland,Business Analytics,Bachelor,1,1,1,0,1,English,9,170,28,NULL,4.0
425,Kavya,Olsen,student,University of Sydney,Mechanical Engineering,Bachelor,7,0,1,0,0,"English,French",5,143,34,NULL,4.4
426,Zane,Iqbal,student,University of Western Australia,Finance,Master,2,0,1,0,1,"English,Hindi",15,129,28,NULL,4.2
427,Léa,Ahmed,student,University of Western Australia,Business Analytics,PhD,10,1,0,0,0,"English,Japnese",11,61,25,NULL,4.7
428,Ivan,Rossi,student,University of Melbourne,Mechanical Engineering,Bachelor,15,1,1,0,1,"English,Hindi",17,115,34,NULL,3.5
429,Yuki,Malik,student,University of Queensland,Business Analytics,Bachelor,13,1,1,1,0,"English,Hindi",13,8,18,NULL,4.5
430,Saanvi,Malik,student,Monash University,Psychology,PhD,7,1,0,0,0,"English,Mandarin",19,184,2,NULL,4.7
431,Rohan,Garcia,student,UNSW,Computer Science,Master,7,0,0,1,0,"English,French",14,58,18,NULL,4.3
432,Omar,Siddiqui,student,University of Queensland,Mechanical Engineering,PhD,5,1,0,0,1,"English,French",7,189,39,NULL,4.8
433,Diego,Khan,student,University of Melbourne,Data Science,Master,12,1,1,1,0,"English,French",2,137,27,NULL,4.9
434,Saanvi,Park,student,University of Queensland,Computer Science,Master,13,1,1,1,0,"English,Indonesian",4,122,20,NULL,4.3
435,Tanvir,Lefebvre,student,University of Melbourne,Data Science,Bachelor,13,1,1,0,1,"English,French",10,194,2,NULL,4.1
436,Zane,Al-Farsi,student,Monash University,Business Analytics,Bachelor,10,0,1,1,1,"English,Spanish",6,17,5,NULL,4.0
